Month,amazon: (United States)
2004-01,10
2004-02,9
2004-03,9
2004-04,9
2004-05,9
2004-06,10
2004-07,10
2004-08,10
2004-09,11
2004-10,9
2004-11,12
2004-12,16
2005-01,12
2005-02,11
2005-03,11
2005-04,11
2005-05,12
2005-06,12
2005-07,11
2005-08,13
2005-09,12
2005-10,12
2005-11,14
2005-12,18
2006-01,14
2006-02,12
2006-03,12
2006-04,12
2006-05,12
2006-06,12
2006-07,13
2006-08,13
2006-09,13
2006-10,13
2006-11,16
2006-12,19
2007-01,14
2007-02,13
2007-03,12
2007-04,12
2007-05,13
2007-06,14
2007-07,13
2007-08,14
2007-09,14
2007-10,14
2007-11,17
2007-12,22
2008-01,15
2008-02,14
2008-03,13
2008-04,13
2008-05,14
2008-06,15
2008-07,14
2008-08,16
2008-09,16
2008-10,15
2008-11,19
2008-12,27
2009-01,19
2009-02,17
2009-03,16
2009-04,16
2009-05,15
2009-06,17
2009-07,17
2009-08,18
2009-09,16
2009-10,17
2009-11,22
2009-12,29
2010-01,22
2010-02,17
2010-03,18
2010-04,17
2010-05,19
2010-06,18
2010-07,19
2010-08,19
2010-09,22
2010-10,21
2010-11,30
2010-12,36
2011-01,32
2011-02,30
2011-03,29
2011-04,28
2011-05,29
2011-06,30
2011-07,32
2011-08,34
2011-09,34
2011-10,34
2011-11,44
2011-12,56
2012-01,44
2012-02,39
2012-03,37
2012-04,35
2012-05,37
2012-06,38
2012-07,41
2012-08,43
2012-09,42
2012-10,41
2012-11,55
2012-12,64
2013-01,50
2013-02,45
2013-03,45
2013-04,45
2013-05,45
2013-06,49
2013-07,54
2013-08,53
2013-09,49
2013-10,46
2013-11,57
2013-12,74
2014-01,52
2014-02,48
2014-03,49
2014-04,48
2014-05,48
2014-06,51
2014-07,51
2014-08,54
2014-09,50
2014-10,50
2014-11,61
2014-12,75
2015-01,56
2015-02,51
2015-03,50
2015-04,51
2015-05,50
2015-06,54
2015-07,60
2015-08,59
2015-09,55
2015-10,58
2015-11,69
2015-12,81
2016-01,55
2016-02,48
2016-03,47
2016-04,49
2016-05,50
2016-06,53
2016-07,57
2016-08,53
2016-09,51
2016-10,52
2016-11,68
2016-12,77
2017-01,57
2017-02,55
2017-03,55
2017-04,55
2017-05,59
2017-06,64
2017-07,67
2017-08,65
2017-09,59
2017-10,63
2017-11,77
2017-12,87
2018-01,69
2018-02,61
2018-03,64
2018-04,61
2018-05,60
2018-06,61
2018-07,69
2018-08,66
2018-09,56
2018-10,62
2018-11,78
2018-12,84
2019-01,65
2019-02,59
2019-03,64
2019-04,63
2019-05,64
2019-06,66
2019-07,76
2019-08,72
2019-09,69
2019-10,69
2019-11,83
2019-12,94
2020-01,74
2020-02,69
2020-03,81
2020-04,92
2020-05,91
2020-06,83
2020-07,83
2020-08,78
2020-09,74
2020-10,81
2020-11,84
2020-12,100
2021-01,78
2021-02,76
2021-03,74
2021-04,75
2021-05,72
2021-06,76
2021-07,71
2021-08,69
2021-09,68
2021-10,72
2021-11,79
2021-12,92
2022-01,77
2022-02,73
2022-03,72
2022-04,69
2022-05,70
2022-06,77
2022-07,83
2022-08,76
2022-09,72
2022-10,79
2022-11,81
2022-12,90
2023-01,74
2023-02,72
2023-03,74
2023-04,70
2023-05,74
2023-06,76
2023-07,81
2023-08,73
2023-09,64
2023-10,77
2023-11,84
2023-12,89
2024-01,68
2024-02,61
2024-03,61
2024-04,61
2024-05,64
2024-06,65
2024-07,69
2024-08,63
2024-09,59
2024-10,62
2024-11,64
2024-12,72
2025-01,58
2025-02,55
2025-03,56
2025-04,57
2025-05,56
2025-06,60
